OptionTicker,Underlying,OptionType,TradeDate,Expiration,Strike,Spot,Bid,Ask,Mid,ImpliedVol,Delta,Notional,Currency
INRUSD OPT 20251017 0.0113 P,INRUSD,Put,2025-10-12,2025-10-17,0.0113,0.011266678571701,9e-05,0.0001,9.5e-05,0.18,-0.5,100000,USD
INRUSD OPT 20251017 0.0113 P,INRUSD,Put,2025-10-12,2025-10-17,0.0113,0.011266678571701,9e-05,0.0001,9.5e-05,0.18,-0.5,100000,USD
JPYUSD OPT 20251010 0.01 P,JPYUSD,Put,2025-10-06,2025-10-10,0.01,0.0066519882529973,2.1e-05,2.3e-05,2.2e-05,0.08,-0.5,100000,USD
INRUSD OPT 20250912 0.0113 P,INRUSD,Put,2025-09-09,2025-09-12,0.0113,0.0113355163484811,7e-05,7.8e-05,7.4e-05,0.18,-0.5,100000,USD
GBPUSD OPT 20250822 1.3508 P,GBPUSD,Put,2025-08-18,2025-08-22,1.3508,1.3508219718933103,0.005374,0.005939,0.005656,0.1,-0.5,100000,USD
CADUSD OPT 20250801 0.7217 P,CADUSD,Put,2025-07-31,2025-08-01,0.7217,0.7216569185256958,0.001292,0.001428,0.00136,0.09,-0.5,100000,USD
INRUSD OPT 20250801 0.0114 P,INRUSD,Put,2025-07-30,2025-08-01,0.0114,0.0114006102085113,5.8e-05,6.4e-05,6.1e-05,0.18,-0.5,100000,USD
JPYUSD OPT 20250801 0.01 P,JPYUSD,Put,2025-07-30,2025-08-01,0.01,0.0067012449726462,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
GBPUSD OPT 20250801 1.3354 P,GBPUSD,Put,2025-07-29,2025-08-01,1.3354,1.3353630304336548,0.0046,0.005085,0.004843,0.1,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-23,2025-07-25,0.01,0.0068329814821481,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-23,2025-07-25,0.01,0.0068329814821481,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-23,2025-07-25,0.01,0.0068329814821481,1.5e-05,1.7e-05,1.6e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250725 0.01 P,JPYUSD,Put,2025-07-22,2025-07-25,0.01,0.0068126851692795,1.9e-05,2.1e-05,2e-05,0.08,-0.5,100000,USD
INRUSD OPT 20250725 0.0116 P,INRUSD,Put,2025-07-20,2025-07-25,0.0116,0.0116078499704599,9.3e-05,0.000103,9.8e-05,0.18,-0.5,100000,USD
JPYUSD OPT 20250704 0.01 P,JPYUSD,Put,2025-06-30,2025-07-04,0.01,0.0069541027769446,2.2e-05,2.4e-05,2.3e-05,0.08,-0.5,100000,USD
INRUSD OPT 20250620 0.0116 P,INRUSD,Put,2025-06-15,2025-06-20,0.0116,0.0115943104028701,9.3e-05,0.000103,9.8e-05,0.18,-0.5,100000,USD
CADUSD OPT 20250530 0.7241 P,CADUSD,Put,2025-05-27,2025-05-30,0.7241,0.7241129279136658,0.002245,0.002481,0.002363,0.09,-0.5,100000,USD
CADUSD OPT 20250530 0.7241 P,CADUSD,Put,2025-05-27,2025-05-30,0.7241,0.7241129279136658,0.002245,0.002481,0.002363,0.09,-0.5,100000,USD
GBPUSD OPT 20250530 1.3536 P,GBPUSD,Put,2025-05-25,2025-05-30,1.3536,1.3535828590393066,0.00602,0.006654,0.006337,0.1,-0.5,100000,USD
INRUSD OPT 20250516 0.0117 P,INRUSD,Put,2025-05-11,2025-05-16,0.0117,0.0117084635421633,9.4e-05,0.000104,9.9e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250516 0.0117 P,INRUSD,Put,2025-05-11,2025-05-16,0.0117,0.0117084635421633,9.4e-05,0.000104,9.9e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250516 0.0116 P,INRUSD,Put,2025-05-10,2025-05-16,0.0116,0.0116168037056922,0.000102,0.000113,0.000107,0.18,-0.5,100000,USD
GBPUSD OPT 20250509 1.3235 P,GBPUSD,Put,2025-05-08,2025-05-09,1.3235,1.323539137840271,0.002633,0.00291,0.002771,0.1,-0.5,100000,USD
GBPUSD OPT 20250509 1.3235 P,GBPUSD,Put,2025-05-08,2025-05-09,1.3235,1.323539137840271,0.002633,0.00291,0.002771,0.1,-0.5,100000,USD
GBPUSD OPT 20250509 1.3235 P,GBPUSD,Put,2025-05-08,2025-05-09,1.3235,1.323539137840271,0.002633,0.00291,0.002771,0.1,-0.5,100000,USD
GBPUSD OPT 20250509 1.3235 P,GBPUSD,Put,2025-05-08,2025-05-09,1.3235,1.323539137840271,0.002633,0.00291,0.002771,0.1,-0.5,100000,USD
CADUSD OPT 20250509 0.7262 P,CADUSD,Put,2025-05-06,2025-05-09,0.7262,0.726248025894165,0.002252,0.002489,0.00237,0.09,-0.5,100000,USD
CADUSD OPT 20250502 0.7231 P,CADUSD,Put,2025-04-28,2025-05-02,0.7231,0.7230605483055115,0.002589,0.002861,0.002725,0.09,-0.5,100000,USD
JPYUSD OPT 20250418 0.01 P,JPYUSD,Put,2025-04-16,2025-04-18,0.01,0.007045826409012,1.6e-05,1.8e-05,1.7e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250418 0.01 P,JPYUSD,Put,2025-04-16,2025-04-18,0.01,0.007045826409012,1.6e-05,1.8e-05,1.7e-05,0.08,-0.5,100000,USD
JPYUSD OPT 20250411 0.01 P,JPYUSD,Put,2025-04-07,2025-04-11,0.01,0.0067664035595953,2.2e-05,2.4e-05,2.3e-05,0.08,-0.5,100000,USD
CADUSD OPT 20250404 0.7034 P,CADUSD,Put,2025-04-02,2025-04-04,0.7034,0.7034080028533936,0.001781,0.001968,0.001874,0.09,-0.5,100000,USD
CADUSD OPT 20250404 0.6997 P,CADUSD,Put,2025-04-01,2025-04-04,0.6997,0.6996872425079346,0.002169,0.002398,0.002284,0.09,-0.5,100000,USD
CADUSD OPT 20250328 0.7218 P,CADUSD,Put,2025-03-27,2025-03-28,0.7218,0.7218496799468994,0.001292,0.001428,0.00136,0.09,-0.5,100000,USD
JPYUSD OPT 20250328 0.01 P,JPYUSD,Put,2025-03-26,2025-03-28,0.01,0.006588352844119,1.5e-05,1.6e-05,1.6e-05,0.08,-0.5,100000,USD
GBPUSD OPT 20250314 1.2973 P,GBPUSD,Put,2025-03-13,2025-03-14,1.2973,1.2973365783691406,0.00258,0.002852,0.002716,0.1,-0.5,100000,USD
CADUSD OPT 20250314 0.7218 P,CADUSD,Put,2025-03-11,2025-03-14,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
CADUSD OPT 20250314 0.7218 P,CADUSD,Put,2025-03-11,2025-03-14,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
CADUSD OPT 20250314 0.7218 P,CADUSD,Put,2025-03-11,2025-03-14,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
CADUSD OPT 20250314 0.7218 P,CADUSD,Put,2025-03-11,2025-03-14,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
CADUSD OPT 20250314 0.7218 P,CADUSD,Put,2025-03-08,2025-03-14,0.7218,0.7218496799468994,0.003165,0.003498,0.003332,0.09,-0.5,100000,USD
CADUSD OPT 20250307 0.7218 P,CADUSD,Put,2025-03-05,2025-03-07,0.7218,0.7218496799468994,0.001827,0.00202,0.001924,0.09,-0.5,100000,USD
CADUSD OPT 20250307 0.7218 P,CADUSD,Put,2025-03-04,2025-03-07,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
CADUSD OPT 20250307 0.7218 P,CADUSD,Put,2025-03-04,2025-03-07,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
CADUSD OPT 20250228 0.7218 P,CADUSD,Put,2025-02-26,2025-02-28,0.7218,0.7218496799468994,0.001827,0.00202,0.001924,0.09,-0.5,100000,USD
CADUSD OPT 20250221 0.7218 P,CADUSD,Put,2025-02-20,2025-02-21,0.7218,0.7218496799468994,0.001292,0.001428,0.00136,0.09,-0.5,100000,USD
CADUSD OPT 20250221 0.7218 P,CADUSD,Put,2025-02-20,2025-02-21,0.7218,0.7218496799468994,0.001292,0.001428,0.00136,0.09,-0.5,100000,USD
CADUSD OPT 20250207 0.7218 P,CADUSD,Put,2025-02-02,2025-02-07,0.7218,0.7218496799468994,0.002889,0.003194,0.003042,0.09,-0.5,100000,USD
CADUSD OPT 20250207 0.7218 P,CADUSD,Put,2025-02-02,2025-02-07,0.7218,0.7218496799468994,0.002889,0.003194,0.003042,0.09,-0.5,100000,USD
CADUSD OPT 20250110 0.7218 P,CADUSD,Put,2025-01-06,2025-01-10,0.7218,0.7218496799468994,0.002584,0.002856,0.00272,0.09,-0.5,100000,USD
CADUSD OPT 20241227 0.7218 P,CADUSD,Put,2024-12-25,2024-12-27,0.7218,0.7218496799468994,0.001827,0.00202,0.001924,0.09,-0.5,100000,USD
CADUSD OPT 20241227 0.7218 P,CADUSD,Put,2024-12-25,2024-12-27,0.7218,0.7218496799468994,0.001827,0.00202,0.001924,0.09,-0.5,100000,USD
GBPUSD OPT 20241227 1.2973 P,GBPUSD,Put,2024-12-21,2024-12-27,1.2973,1.2973365783691406,0.006321,0.006986,0.006653,0.1,-0.5,100000,USD
CADUSD OPT 20241220 0.7218 P,CADUSD,Put,2024-12-18,2024-12-20,0.7218,0.7218496799468994,0.001827,0.00202,0.001924,0.09,-0.5,100000,USD
JPYUSD OPT 20241220 0.01 P,JPYUSD,Put,2024-12-16,2024-12-20,0.01,0.006588352844119,2.1e-05,2.3e-05,2.2e-05,0.08,-0.5,100000,USD
CADUSD OPT 20241213 0.7218 P,CADUSD,Put,2024-12-10,2024-12-13,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
JPYUSD OPT 20241206 0.01 P,JPYUSD,Put,2024-12-03,2024-12-06,0.01,0.006588352844119,1.8e-05,2e-05,1.9e-05,0.08,-0.5,100000,USD
GBPUSD OPT 20241206 1.2973 P,GBPUSD,Put,2024-12-02,2024-12-06,1.2973,1.2973365783691406,0.005161,0.005704,0.005432,0.1,-0.5,100000,USD
CADUSD OPT 20251031 0.715 P,CADUSD,Put,2025-10-25,2025-10-31,0.715,0.714970052242279,0.003135,0.003465,0.0033,0.09,-0.5,100000,USD
CADUSD OPT 20251031 0.715 P,CADUSD,Put,2025-10-25,2025-10-31,0.715,0.714970052242279,0.003135,0.003465,0.0033,0.09,-0.5,100000,USD
GBPUSD OPT 20250919 1.3654 P,GBPUSD,Put,2025-09-16,2025-09-19,1.3654,1.365392804145813,0.004704,0.005199,0.004951,0.1,-0.5,100000,USD
INRUSD OPT 20250905 0.0114 P,INRUSD,Put,2025-09-01,2025-09-05,0.0114,0.011363455094397,8.1e-05,9e-05,8.6e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250808 0.0114 P,INRUSD,Put,2025-08-04,2025-08-08,0.0114,0.0113774314522743,8.1e-05,9e-05,8.6e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250808 0.0115 P,INRUSD,Put,2025-08-03,2025-08-08,0.0115,0.011461935006082,9.2e-05,0.000101,9.7e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250801 0.0114 P,INRUSD,Put,2025-07-31,2025-08-01,0.0114,0.0114299561828374,4.1e-05,4.5e-05,4.3e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250801 0.0114 P,INRUSD,Put,2025-07-30,2025-08-01,0.0114,0.0114006102085113,5.8e-05,6.4e-05,6.1e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250801 0.0114 P,INRUSD,Put,2025-07-30,2025-08-01,0.0114,0.0114006102085113,5.8e-05,6.4e-05,6.1e-05,0.18,-0.5,100000,USD
INRUSD OPT 20250801 0.0116 P,INRUSD,Put,2025-07-26,2025-08-01,0.0116,0.0115700168535113,0.000101,0.000112,0.000107,0.18,-0.5,100000,USD
CADUSD OPT 20250620 0.7308 P,CADUSD,Put,2025-06-17,2025-06-20,0.7308,0.7308018207550049,0.002266,0.002504,0.002385,0.09,-0.5,100000,USD
CADUSD OPT 20250425 0.7216 P,CADUSD,Put,2025-04-24,2025-04-25,0.7216,0.7216048240661621,0.001292,0.001428,0.00136,0.09,-0.5,100000,USD
INRUSD OPT 20250425 0.0117 P,INRUSD,Put,2025-04-22,2025-04-25,0.0117,0.0117326276376843,7.3e-05,8e-05,7.7e-05,0.18,-0.5,100000,USD
JPYUSD OPT 20250425 0.01 P,JPYUSD,Put,2025-04-20,2025-04-25,0.01,0.007045826409012,2.5e-05,2.8e-05,2.6e-05,0.08,-0.5,100000,USD
GBPUSD OPT 20250404 1.2938 P,GBPUSD,Put,2025-03-30,2025-04-04,1.2938,1.2938284873962402,0.005754,0.00636,0.006057,0.1,-0.5,100000,USD
CADUSD OPT 20250314 0.7218 P,CADUSD,Put,2025-03-11,2025-03-14,0.7218,0.7218496799468994,0.002238,0.002474,0.002356,0.09,-0.5,100000,USD
CADUSD OPT 20250307 0.7218 P,CADUSD,Put,2025-03-05,2025-03-07,0.7218,0.7218496799468994,0.001827,0.00202,0.001924,0.09,-0.5,100000,USD
CADUSD OPT 20250228 0.7218 P,CADUSD,Put,2025-02-27,2025-02-28,0.7218,0.7218496799468994,0.001292,0.001428,0.00136,0.09,-0.5,100000,USD
CADUSD OPT 20250228 0.7218 P,CADUSD,Put,2025-02-24,2025-02-28,0.7218,0.7218496799468994,0.002584,0.002856,0.00272,0.09,-0.5,100000,USD
CADUSD OPT 20250207 0.7218 P,CADUSD,Put,2025-02-03,2025-02-07,0.7218,0.7218496799468994,0.002584,0.002856,0.00272,0.09,-0.5,100000,USD
CADUSD OPT 20250207 0.7218 P,CADUSD,Put,2025-02-01,2025-02-07,0.7218,0.7218496799468994,0.003165,0.003498,0.003332,0.09,-0.5,100000,USD
CADUSD OPT 20241206 0.7218 P,CADUSD,Put,2024-11-30,2024-12-06,0.7218,0.7218496799468994,0.003165,0.003498,0.003332,0.09,-0.5,100000,USD
CADUSD OPT 20241129 0.7218 P,CADUSD,Put,2024-11-25,2024-11-29,0.7218,0.7218496799468994,0.002584,0.002856,0.00272,0.09,-0.5,100000,USD
